序号	class	pdate	sequence	amount	forecast
 339	1	1052	20171108	6.8437786746902E9	
 340	1	1056	20171112	1.5363147642399E9	
 341	1	1059	20171115	1.7585552099099E9	
 342	1	1060	20171116	1.4680397848999E9	
 343	1	1061	20171117	1.3951442274999E9	
 344	1	1063	20171119	1.2655720229199E9	
 345	1	1064	20171120	1.7297686458499E9	
 346	1	1066	20171122	1.4960941421699E9	
 347	1	1071	20171127	1.9612658907999E9	
 348	1	1072	20171128	2.1098359036899E9	
 349	1	1074	20171130	2.97776226246E9	
 350	1	1080	20171206	6.7031499680102E9	
 351	1	1081	20171207	6.7385747465101E9	
 352	1	1084	20171210	1.74122715822889E10	
 353	1	1087	20171213	1.2135141158599E9	
 354	1	1089	20171215	1.7022514381899E9	
 355	1	1092	20171218	1.3420544323999E9	
 356	1	1094	20171220	1.5519694207599E9	
 357	1	1095	20171221	1.4845558052899E9	
 358	1	1100	20171226	1.7601242176199E9	2.1216179271659E9
 359	1	1101	20171227	1.7911370854699E9	2.2214362666148E9
 360	1	1106	20180101	9.8336020056702E9	6.859879102944E9
 361	1	1107	20180102	6.7971627981902E9	6.8983059282634E9
 362	1	1109	20180104	4.20754950691E9	5.1141665824919E9
 363	1	1112	20180107	5.5191318072201E9	6.2263595034086E9
 364	1	1114	20180109	2.65729340819251E10	2.37385204665599E10
 365	1	1117	20180112	1.5396255107799E9	1.3824298928326E9
 366	1	1120	20180115	1.9155776312699E9	1.1402645498584E9
 367	1	1122	20180117	1.3375578241299E9	1.3022240787302E9
 368	1	1124	20180119	1.3806050355499E9	1.4097383431535E9
 369	1	1125	20180120	1.2647716242099E9	1.5257779690692E9
 370	1	1126	20180121	1.2047481261399E9	1.3216112797578E9
 371	1	1130	20180125	1.6701347781399E9	1.8206251005092E9
 372	1	1133	20180128	1.5709237284399E9	1.6091315962641E9
 373	1	1134	20180129	1.8607827492099E9	1.4273990317663E9
 374	1	1137	20180201	1.075926098788E10	7.8200405248333E9
 375	1	1142	20180206	6.3913000064502E9	5.852322572001E9
 376	1	1144	20180208	8.7239691553001E9	8.8687122009065E9
 377	1	1145	20180209	2.75479366775041E10	2.20442334097687E10
 378	1	1146	20180210	1.53250874275291E10	1.05214903901504E10
 379	1	1147	20180211	2.10543185628E9	1.1867069350945E9
 380	1	1148	20180212	1.92006771134E9	9.273311177449E8
 381	1	1149	20180213	1.7595492062199E9	1.0648721300289E9
 382	1	1154	20180218	8.220396387599E8	8.768427118137E8
 383	1	1158	20180222	1.3121237005899E9	1.0895590292302E9
 384	1	1160	20180224	1.3825343196299E9	1.1878547417415E9
 385	1	1163	20180227	1.7244666595499E9	1.431606760524E9
 386	1	1164	20180228	2.30264142881E9	2.0129267820527E9
 387	1	1167	20180303	3.7617025464801E9	3.7588817274049E9
 388	1	1170	20180306	5.5791089767002E9	3.8493360913855E9
 389	1	1172	20180308	6.8398267390002E9	5.0042361530136E9
 390	1	1175	20180311	1.5032106086799E9	1.8806060075945E9
 391	1	1177	20180313	1.1937033508299E9	1.1236290723719E9
 392	1	1178	20180314	1.0794867882199E9	1.1433490099651E9
 393	1	1188	20180324	1.1770056221399E9	1.2638225135023E9
